Firstname,Surname,Name,Gender,Nation,Team,EventName,ClassName,GroupdName,RaceName,PassingTime,AccumulatedTime,TimeFormatted,NetTime,Time,TimeSmoothed,TimeSmoothedFormatted,Place (total),DiffTimeTotal,DiffTimeTotalFormatted,DiffRoundsTotal,Place (class),DiffTimeClass,DiffTimeClassFormatted,DiffRoundsClass,Place (gender),DiffTimeGender,DiffTimeGenderFormatted,DiffRoundsGender,Starttime,StarttimeFormatted
Andreas,Svensson,Andreas Svensson,M,SE,Ulricehamns IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:37:42.4700000,5862470,1:37:42.4,5862470,1:37:42.4,5862470,2023-01-21T12:37:42.4700000,1,0,0:00.0,0,1,0,0:00.0,0,1,0,0:00.0,0,2023-01-21T11:00:00.000000,11:00:00
Gustaf,Berglund,Gustaf Berglund,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:37:51.8500000,5871850,1:37:51.8,5871850,1:37:51.8,5871850,2023-01-21T12:37:51.8500000,2,9400,0:09.4,0,2,9400,0:09.4,0,2,9400,0:09.4,0,2023-01-21T11:00:00.000000,11:00:00
Alfred,NILSSON,Alfred NILSSON,M,SE,Filipstads SF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:02.7900000,5882790,1:38:02.7,5882790,1:38:02.7,5882790,2023-01-21T12:38:02.7900000,3,20300,0:20.3,0,3,20300,0:20.3,0,3,20300,0:20.3,0,2023-01-21T11:00:00.000000,11:00:00
Adrian,Lundberg,Adrian Lundberg,M,SE,Lager 157 Ski Team,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:04.0000000,5884000,1:38:04.0,5884000,1:38:04.0,5884000,2023-01-21T12:38:04.0000000,4,21600,0:21.6,0,4,21600,0:21.6,0,4,21600,0:21.6,0,2023-01-21T11:00:00.000000,11:00:00
Gabriel,Thorn,Gabriel Thorn,M,SE,Träningskonsulten Sports Club,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:06.0800000,5886080,1:38:06.0,5886080,1:38:06.0,5886080,2023-01-21T12:38:06.0800000,5,23600,0:23.6,0,5,23600,0:23.6,0,5,23600,0:23.6,0,2023-01-21T11:00:00.000000,11:00:00
Oskar,Algotsson,Oskar Algotsson,M,SE,Åsarna IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:09.6400000,5889640,1:38:09.6,5889640,1:38:09.6,5889640,2023-01-21T12:38:09.6400000,6,27200,0:27.2,0,6,27200,0:27.2,0,6,27200,0:27.2,0,2023-01-21T11:00:00.000000,11:00:00
Gustav,ERIKSSON,Gustav ERIKSSON,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:10.9200000,5890920,1:38:10.9,5890920,1:38:10.9,5890920,2023-01-21T12:38:10.9200000,7,28500,0:28.5,0,7,28500,0:28.5,0,7,28500,0:28.5,0,2023-01-21T11:00:00.000000,11:00:00
Michael,Eklöf,Michael Eklöf,M,SE,Team Stordunk / Hällbybrunns IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:40.8300000,5920830,1:38:40.8,5920830,1:38:40.8,5920830,2023-01-21T12:38:40.8300000,8,58400,0:58.4,0,8,58400,0:58.4,0,8,58400,0:58.4,0,2023-01-21T11:00:00.000000,11:00:00
Ossian,Rosenberg,Ossian Rosenberg,M,SE,Lager 157 Ski Team,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:41.5000000,5921500,1:38:41.5,5921500,1:38:41.5,5921500,2023-01-21T12:38:41.5000000,9,59100,0:59.1,0,9,59100,0:59.1,0,9,59100,0:59.1,0,2023-01-21T11:00:00.000000,11:00:00
Jonathan,Hedbys,Jonathan Hedbys,M,SE,Storvreta IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:39:50.9300000,5990930,1:39:50.9,5990930,1:39:50.9,5990930,2023-01-21T12:39:50.9300000,10,128500,2:08.5,0,10,128500,2:08.5,0,10,128500,2:08.5,0,2023-01-21T11:00:00.000000,11:00:00
Jonatan,STEEN,Jonatan STEEN,M,SE,Sågmyra SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:39:51.7000000,5991700,1:39:51.7,5991700,1:39:51.7,5991700,2023-01-21T12:39:51.7000000,11,129300,2:09.3,0,11,129300,2:09.3,0,11,129300,2:09.3,0,2023-01-21T11:00:00.000000,11:00:00
Albin,Andersson,Albin Andersson,M,SE,Ulriksbergs IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:39:52.6300000,5992630,1:39:52.6,5992630,1:39:52.6,5992630,2023-01-21T12:39:52.6300000,12,130200,2:10.2,0,12,130200,2:10.2,0,12,130200,2:10.2,0,2023-01-21T11:00:00.000000,11:00:00
Sigurd Sollien,HULBAK,Sigurd Sollien HULBAK,M,NO,Team Synnfjell,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:39:52.9200000,5992920,1:39:52.9,5992920,1:39:52.9,5992920,2023-01-21T12:39:52.9200000,13,130500,2:10.5,0,13,130500,2:10.5,0,13,130500,2:10.5,0,2023-01-21T11:00:00.000000,11:00:00
Bård Eskil,Bjørndalen,Bård Eskil Bjørndalen,M,NO,Magnor Ul/Team Kaffebryggeriet,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:39:53.4700000,5993470,1:39:53.4,5993470,1:39:53.4,5993470,2023-01-21T12:39:53.4700000,14,131000,2:11.0,0,14,131000,2:11.0,0,14,131000,2:11.0,0,2023-01-21T11:00:00.000000,11:00:00
Pontus,Nordström,Pontus Nordström,M,SE,Östervåla if,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:39:53.9000000,5993900,1:39:53.9,5993900,1:39:53.9,5993900,2023-01-21T12:39:53.9000000,15,131500,2:11.5,0,15,131500,2:11.5,0,15,131500,2:11.5,0,2023-01-21T11:00:00.000000,11:00:00
Magnus,Waaler,Magnus Waaler,M,NO,Rustad IL,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:40:01.2300000,6001230,1:40:01.2,6001230,1:40:01.2,6001230,2023-01-21T12:40:01.2300000,16,138800,2:18.8,0,16,138800,2:18.8,0,16,138800,2:18.8,0,2023-01-21T11:00:00.000000,11:00:00
Nils,Bergström,Nils Bergström,M,SE,Rehns BK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:40:07.8300000,6007830,1:40:07.8,6007830,1:40:07.8,6007830,2023-01-21T12:40:07.8300000,17,145400,2:25.4,0,17,145400,2:25.4,0,17,145400,2:25.4,0,2023-01-21T11:00:00.000000,11:00:00
Anton,HEDLUND,Anton HEDLUND,M,SE,Falun Borlänge Sk,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:40:09.7700000,6009770,1:40:09.7,6009770,1:40:09.7,6009770,2023-01-21T12:40:09.7700000,18,147300,2:27.3,0,18,147300,2:27.3,0,18,147300,2:27.3,0,2023-01-21T11:00:00.000000,11:00:00
Marcus,RUUS,Marcus RUUS,M,SE,Åsarna IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:41:26.2100000,6086210,1:41:26.2,6086210,1:41:26.2,6086210,2023-01-21T12:41:26.2100000,19,223800,3:43.8,0,19,223800,3:43.8,0,19,223800,3:43.8,0,2023-01-21T11:00:00.000000,11:00:00
Adam,Steen,Adam Steen,M,SE,Team Ormsalva AC,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:41:53.8700000,6113870,1:41:53.8,6113870,1:41:53.8,6113870,2023-01-21T12:41:53.8700000,20,251400,4:11.4,0,20,251400,4:11.4,0,20,251400,4:11.4,0,2023-01-21T11:00:00.000000,11:00:00
Erik,Wickström,Erik Wickström,M,SE,Hestra IF Borås,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:42:46.3500000,6166350,1:42:46.3,6166350,1:42:46.3,6166350,2023-01-21T12:42:46.3500000,21,303900,5:03.9,0,1,0,0:00.0,0,21,303900,5:03.9,0,2023-01-21T11:00:00.000000,11:00:00
Martin,Rosvall,Martin Rosvall,M,SE,Sunne SLF,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:42:46.3700000,6166370,1:42:46.3,6166370,1:42:46.3,6166370,2023-01-21T12:42:46.3700000,22,303900,5:03.9,0,2,0,0:00.0,0,22,303900,5:03.9,0,2023-01-21T11:00:00.000000,11:00:00
John,Hermansson,John Hermansson,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:42:48.3600000,6168360,1:42:48.3,6168360,1:42:48.3,6168360,2023-01-21T12:42:48.3600000,23,305900,5:05.9,0,21,305900,5:05.9,0,23,305900,5:05.9,0,2023-01-21T11:00:00.000000,11:00:00
Pierre,Hallin,Pierre Hallin,M,SE,Ulricehamns IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:42:53.6000000,6173600,1:42:53.6,6173600,1:42:53.6,6173600,2023-01-21T12:42:53.6000000,24,311200,5:11.2,0,22,311200,5:11.2,0,24,311200,5:11.2,0,2023-01-21T11:00:00.000000,11:00:00
Kasper,OLSEN,Kasper OLSEN,M,SE,Sk Bore Torsby,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:42:54.0000000,6174000,1:42:54.0,6174000,1:42:54.0,6174000,2023-01-21T12:42:54.0000000,25,311600,5:11.6,0,23,311600,5:11.6,0,25,311600,5:11.6,0,2023-01-21T11:00:00.000000,11:00:00
Andrei,Lamov,Andrei Lamov,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:42:57.4600000,6177460,1:42:57.4,6177460,1:42:57.4,6177460,2023-01-21T12:42:57.4600000,26,315000,5:15.0,0,24,315000,5:15.0,0,26,315000,5:15.0,0,2023-01-21T11:00:00.000000,11:00:00
Hugo,Hilmersson,Hugo Hilmersson,M,SE,Göteborgs Skidklubb,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:43:55.9100000,6235910,1:43:55.9,6235910,1:43:55.9,6235910,2023-01-21T12:43:55.9100000,27,373500,6:13.5,0,25,373500,6:13.5,0,27,373500,6:13.5,0,2023-01-21T11:00:00.000000,11:00:00
Viktor,Norberg,Viktor Norberg,M,SE,Falu IK SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:09.5900000,6249590,1:44:09.5,6249590,1:44:09.5,6249590,2023-01-21T12:44:09.5900000,28,387100,6:27.1,0,26,387100,6:27.1,0,28,387100,6:27.1,0,2023-01-21T11:00:00.000000,11:00:00
Klas,Söderqvist,Klas Söderqvist,M,SE,Älvdalens IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:10.6800000,6250680,1:44:10.6,6250680,1:44:10.6,6250680,2023-01-21T12:44:10.6800000,29,388200,6:28.2,0,27,388200,6:28.2,0,29,388200,6:28.2,0,2023-01-21T11:00:00.000000,11:00:00
Olof,Persson,Olof Persson,M,SE,Dponly Ski Club,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:10.8900000,6250890,1:44:10.8,6250890,1:44:10.8,6250890,2023-01-21T12:44:10.8900000,30,388400,6:28.4,0,28,388400,6:28.4,0,30,388400,6:28.4,0,2023-01-21T11:00:00.000000,11:00:00
Sebastian,Svahn,Sebastian Svahn,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:12.3700000,6252370,1:44:12.3,6252370,1:44:12.3,6252370,2023-01-21T12:44:12.3700000,31,389900,6:29.9,0,29,389900,6:29.9,0,31,389900,6:29.9,0,2023-01-21T11:00:00.000000,11:00:00
Tom,Fahlén,Tom Fahlén,M,SE,Landsbro if Skidor,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:12.4800000,6252480,1:44:12.4,6252480,1:44:12.4,6252480,2023-01-21T12:44:12.4800000,32,390000,6:30.0,0,30,390000,6:30.0,0,32,390000,6:30.0,0,2023-01-21T11:00:00.000000,11:00:00
Waldemar,Andersson,Waldemar Andersson,M,SE,Storvreta IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:12.6800000,6252680,1:44:12.6,6252680,1:44:12.6,6252680,2023-01-21T12:44:12.6800000,33,390200,6:30.2,0,31,390200,6:30.2,0,33,390200,6:30.2,0,2023-01-21T11:00:00.000000,11:00:00
Erik,Hållström,Erik Hållström,M,SE,Team Walle Skidklubb,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:13.2600000,6253260,1:44:13.2,6253260,1:44:13.2,6253260,2023-01-21T12:44:13.2600000,34,390800,6:30.8,0,32,390800,6:30.8,0,34,390800,6:30.8,0,2023-01-21T11:00:00.000000,11:00:00
Sebastian,JANSSON SAADIO,Sebastian JANSSON SAADIO,M,SE,Sälens IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:16.7700000,6256770,1:44:16.7,6256770,1:44:16.7,6256770,2023-01-21T12:44:16.7700000,35,394300,6:34.3,0,33,394300,6:34.3,0,35,394300,6:34.3,0,2023-01-21T11:00:00.000000,11:00:00
Kristian,Furuskog,Kristian Furuskog,M,SE,Berga SOK,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:44:19.2400000,6259240,1:44:19.2,6259240,1:44:19.2,6259240,2023-01-21T12:44:19.2400000,36,396800,6:36.8,0,3,92900,1:32.9,0,36,396800,6:36.8,0,2023-01-21T11:00:00.000000,11:00:00
Filip,Strand,Filip Strand,M,SE,Domnarvets GOIF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:27.0800000,6267080,1:44:27.0,6267080,1:44:27.0,6267080,2023-01-21T12:44:27.0800000,37,404600,6:44.6,0,34,404600,6:44.6,0,37,404600,6:44.6,0,2023-01-21T11:00:00.000000,11:00:00
Jens,BURMAN,Jens BURMAN,M,SE,Åsarna IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:44:46.9500000,6286950,1:44:46.9,6286950,1:44:46.9,6286950,2023-01-21T12:44:46.9500000,38,424500,7:04.5,0,35,424500,7:04.5,0,38,424500,7:04.5,0,2023-01-21T11:00:00.000000,11:00:00
David,Flinkfelt,David Flinkfelt,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 40-49,Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:46:33.9300000,6380220,1:46:20.2,6380220,1:46:20.2,6380220,2023-01-21T12:46:33.9300000,39,517800,8:37.8,0,4,213900,3:33.9,0,39,517800,8:37.8,0,2023-01-21T11:00:13.710000,11:00:13
Alexander,Thudeen,Alexander Thudeen,M,SE,Sya SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:46:23.8500000,6383850,1:46:23.8,6383850,1:46:23.8,6383850,2023-01-21T12:46:23.8500000,40,521400,8:41.4,0,36,521400,8:41.4,0,40,521400,8:41.4,0,2023-01-21T11:00:00.000000,11:00:00
Krång Mikael,Sandgren,Krång Mikael Sandgren,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:46:29.1300000,6389130,1:46:29.1,6389130,1:46:29.1,6389130,2023-01-21T12:46:29.1300000,41,526700,8:46.7,0,37,526700,8:46.7,0,41,526700,8:46.7,0,2023-01-21T11:00:00.000000,11:00:00
Måns,Larsson,Måns Larsson,M,SE,Ulricehamn IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:46:29.6700000,6389670,1:46:29.6,6389670,1:46:29.6,6389670,2023-01-21T12:46:29.6700000,42,527200,8:47.2,0,38,527200,8:47.2,0,42,527200,8:47.2,0,2023-01-21T11:00:00.000000,11:00:00
Klas,Johansson,Klas Johansson,M,SE,Älvdalens IF SK,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:46:31.4500000,6391450,1:46:31.4,6391450,1:46:31.4,6391450,2023-01-21T12:46:31.4500000,43,529000,8:49.0,0,5,225100,3:45.1,0,43,529000,8:49.0,0,2023-01-21T11:00:00.000000,11:00:00
Patric,Vilhelmsson,Patric Vilhelmsson,M,SE,Norbergs ck,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:46:33.4900000,6393490,1:46:33.4,6393490,1:46:33.4,6393490,2023-01-21T12:46:33.4900000,44,531000,8:51.0,0,39,531000,8:51.0,0,44,531000,8:51.0,0,2023-01-21T11:00:00.000000,11:00:00
Ronnie,Löf,Ronnie Löf,M,SE,Högbo Gif,MoraLoppet 2023,Herr 50-59,Elitled,Moraloppet Tävling,2023-01-21T12:46:33.8100000,6393810,1:46:33.8,6393810,1:46:33.8,6393810,2023-01-21T12:46:33.8100000,45,531400,8:51.4,0,1,0,0:00.0,0,45,531400,8:51.4,0,2023-01-21T11:00:00.000000,11:00:00
Ulf,Nordström,Ulf Nordström,M,SE,Östervåla IF,MoraLoppet 2023,Herr 50-59,Elitled,Moraloppet Tävling,2023-01-21T12:46:36.1600000,6396160,1:46:36.1,6396160,1:46:36.1,6396160,2023-01-21T12:46:36.1600000,46,533700,8:53.7,0,2,2300,0:02.3,0,46,533700,8:53.7,0,2023-01-21T11:00:00.000000,11:00:00
Daniel,Danielsson,Daniel Danielsson,M,SE,XC Sthlm,MoraLoppet 2023,Herr 50-59,Elitled,Moraloppet Tävling,2023-01-21T12:46:38.2100000,6398210,1:46:38.2,6398210,1:46:38.2,6398210,2023-01-21T12:46:38.2100000,47,535800,8:55.8,0,3,4400,0:04.4,0,47,535800,8:55.8,0,2023-01-21T11:00:00.000000,11:00:00
Mikael,ANDERSSON,Mikael ANDERSSON,M,SE,Malungs IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:46:42.7600000,6402760,1:46:42.7,6402760,1:46:42.7,6402760,2023-01-21T12:46:42.7600000,48,540300,9:00.3,0,40,540300,9:00.3,0,48,540300,9:00.3,0,2023-01-21T11:00:00.000000,11:00:00
Johan,Kanto,Johan Kanto,M,SE,Göteborgs SK,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:46:43.7200000,6403720,1:46:43.7,6403720,1:46:43.7,6403720,2023-01-21T12:46:43.7200000,49,541300,9:01.3,0,6,237400,3:57.4,0,49,541300,9:01.3,0,2023-01-21T11:00:00.000000,11:00:00
Simon,Bengtsson,Simon Bengtsson,M,SE,IF Ski Team Skåne,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:46:51.4500000,6411450,1:46:51.4,6411450,1:46:51.4,6411450,2023-01-21T12:46:51.4500000,50,549000,9:09.0,0,41,549000,9:09.0,0,50,549000,9:09.0,0,2023-01-21T11:00:00.000000,11:00:00
Christoffer,Grudd,Christoffer Grudd,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:46:58.3700000,6418370,1:46:58.3,6418370,1:46:58.3,6418370,2023-01-21T12:46:58.3700000,51,555900,9:15.9,0,42,555900,9:15.9,0,51,555900,9:15.9,0,2023-01-21T11:00:00.000000,11:00:00
Johannes,Josefsson,Johannes Josefsson,M,SE,XC Sthlm,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:47:12.5300000,6432530,1:47:12.5,6432530,1:47:12.5,6432530,2023-01-21T12:47:12.5300000,52,570100,9:30.1,0,43,570100,9:30.1,0,52,570100,9:30.1,0,2023-01-21T11:00:00.000000,11:00:00
Carl,Björk,Carl Björk,M,SE,Borås SK,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:47:36.0500000,6442340,1:47:22.3,6442340,1:47:22.3,6442340,2023-01-21T12:47:36.0500000,53,579900,9:39.9,0,44,579900,9:39.9,0,53,579900,9:39.9,0,2023-01-21T11:00:13.710000,11:00:13
Niklas,Österberg,Niklas Österberg,M,SE,Storvreta IK,MoraLoppet 2023,Herr 50-59,Elitled,Moraloppet Tävling,2023-01-21T12:47:50.2700000,6470270,1:47:50.2,6470270,1:47:50.2,6470270,2023-01-21T12:47:50.2700000,54,607800,10:07.8,0,4,76400,1:16.4,0,54,607800,10:07.8,0,2023-01-21T11:00:00.000000,11:00:00
Hugo,Pettersson Arwedahl,Hugo Pettersson Arwedahl,M,SE,Trollhättans SOK,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:49:04.0800000,6524570,1:48:44.5,6524570,1:48:44.5,6524570,2023-01-21T12:49:04.0800000,55,662100,11:02.1,0,45,662100,11:02.1,0,55,662100,11:02.1,0,2023-01-21T11:00:19.510000,11:00:19
Kristian,Ek,Kristian Ek,M,SE,Xc Sthlm,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:49:11.5100000,6535930,1:48:55.9,6535930,1:48:55.9,6535930,2023-01-21T12:49:11.5100000,56,673500,11:13.5,0,46,673500,11:13.5,0,56,673500,11:13.5,0,2023-01-21T11:00:15.580000,11:00:15
Rolf,Kempe,Rolf Kempe,M,SE,Timrå SOK,MoraLoppet 2023,Herr 50-59,Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:49:12.1500000,6536550,1:48:56.5,6536550,1:48:56.5,6536550,2023-01-21T12:49:12.1500000,57,674100,11:14.1,0,5,142700,2:22.7,0,57,674100,11:14.1,0,2023-01-21T11:00:15.600000,11:00:15
Gabriel,Fernsten,Gabriel Fernsten,M,SE,Karlslunds IF,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:49:16.4300000,6542710,1:49:02.7,6542710,1:49:02.7,6542710,2023-01-21T12:49:16.4300000,58,680300,11:20.3,0,47,680300,11:20.3,0,58,680300,11:20.3,0,2023-01-21T11:00:13.720000,11:00:13
Andreas,Berthagen,Andreas Berthagen,M,SE,Storvreta IK,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:49:09.7500000,6549750,1:49:09.7,6549750,1:49:09.7,6549750,2023-01-21T12:49:09.7500000,59,687300,11:27.3,0,7,383400,6:23.4,0,59,687300,11:27.3,0,2023-01-21T11:00:00.000000,11:00:00
Emil,Svensson,Emil Svensson,M,SE,Snö&Tö Skidklubb,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:49:13.8400000,6553840,1:49:13.8,6553840,1:49:13.8,6553840,2023-01-21T12:49:13.8400000,60,691400,11:31.4,0,48,691400,11:31.4,0,60,691400,11:31.4,0,2023-01-21T11:00:00.000000,11:00:00
Alexander,Gingsjö,Alexander Gingsjö,M,SE,XC Sthlm,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:49:23.5400000,6563540,1:49:23.5,6563540,1:49:23.5,6563540,2023-01-21T12:49:23.5400000,61,701100,11:41.1,0,8,397200,6:37.2,0,61,701100,11:41.1,0,2023-01-21T11:00:00.000000,11:00:00
Pål Åge,Joten,Pål Åge Joten,M,NO,Engerdal Spk,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:49:38.4400000,6568330,1:49:28.3,6568330,1:49:28.3,6568330,2023-01-21T12:49:38.4400000,62,705900,11:45.9,0,49,705900,11:45.9,0,62,705900,11:45.9,0,2023-01-21T11:00:10.110000,11:00:10
Hampus,Erndin,Hampus Erndin,M,SE,Nybro Skidklubb,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:49:44.9700000,6584970,1:49:44.9,6584970,1:49:44.9,6584970,2023-01-21T12:49:44.9700000,63,722500,12:02.5,0,50,722500,12:02.5,0,63,722500,12:02.5,0,2023-01-21T11:00:00.000000,11:00:00
Christoffer,Johansson,Christoffer Johansson,M,SE,Trollhättans SOK,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:50:34.9100000,6608900,1:50:08.9,6608900,1:50:08.9,6608900,2023-01-21T12:50:34.9100000,64,746500,12:26.5,0,51,746500,12:26.5,0,64,746500,12:26.5,0,2023-01-21T11:00:26.010000,11:00:26
André,Larsson,André Larsson,M,SE,Svegs ik,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:50:34.7900000,6608930,1:50:08.9,6608930,1:50:08.9,6608930,2023-01-21T12:50:34.7900000,65,746500,12:26.5,0,52,746500,12:26.5,0,65,746500,12:26.5,0,2023-01-21T11:00:25.860000,11:00:25
Morten,LØCHEN,Morten LØCHEN,M,NO,Hemsedal IL,MoraLoppet 2023,Herr 19-39 (Elit),Moraloppet Tävling,Moraloppet Tävling,2023-01-21T12:50:29.0700000,6615620,1:50:15.6,6615620,1:50:15.6,6615620,2023-01-21T12:50:29.0700000,66,753200,12:33.2,0,53,753200,12:33.2,0,66,753200,12:33.2,0,2023-01-21T11:00:13.450000,11:00:13
Jakob,Tapani,Jakob Tapani,M,SE,Kiruna Skidor,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:50:25.5400000,6625540,1:50:25.5,6625540,1:50:25.5,6625540,2023-01-21T12:50:25.5400000,67,763100,12:43.1,0,54,763100,12:43.1,0,67,763100,12:43.1,0,2023-01-21T11:00:00.000000,11:00:00
Fredrik,Gustafsson,Fredrik Gustafsson,M,SE,Strängnäs Skidklubb,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:50:26.1100000,6626110,1:50:26.1,6626110,1:50:26.1,6626110,2023-01-21T12:50:26.1100000,68,763700,12:43.7,0,9,459800,7:39.8,0,68,763700,12:43.7,0,2023-01-21T11:00:00.000000,11:00:00
Andreas,Degerfeldt,Andreas Degerfeldt,M,SE,Tureberg IF Skidor,MoraLoppet 2023,Herr 40-49,Elitled,Moraloppet Tävling,2023-01-21T12:50:30.7800000,6630780,1:50:30.7,6630780,1:50:30.7,6630780,2023-01-21T12:50:30.7800000,69,768300,12:48.3,0,10,464400,7:44.4,0,69,768300,12:48.3,0,2023-01-21T11:00:00.000000,11:00:00
